i,hex_value,setPk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,43927,349233
1,8000000000000000000000000000000000000000000000000000000000000000,43927,349233
2,c000000000000000000000000000000000000000000000000000000000000000,43927,346300
3,e000000000000000000000000000000000000000000000000000000000000000,43927,346300
4,f000000000000000000000000000000000000000000000000000000000000000,43927,346300
5,f800000000000000000000000000000000000000000000000000000000000000,43927,343370
6,fc00000000000000000000000000000000000000000000000000000000000000,43927,343370
7,fe00000000000000000000000000000000000000000000000000000000000000,43927,343370
8,ff00000000000000000000000000000000000000000000000000000000000000,43927,340441
9,ff80000000000000000000000000000000000000000000000000000000000000,43927,340441
10,ffc0000000000000000000000000000000000000000000000000000000000000,43927,340441
11,ffe0000000000000000000000000000000000000000000000000000000000000,43927,340441
12,fff0000000000000000000000000000000000000000000000000000000000000,43927,334589
13,fff8000000000000000000000000000000000000000000000000000000000000,43927,334589
14,fffc000000000000000000000000000000000000000000000000000000000000,43927,334589
15,fffe000000000000000000000000000000000000000000000000000000000000,43927,331666
16,ffff000000000000000000000000000000000000000000000000000000000000,43927,331666
17,ffff800000000000000000000000000000000000000000000000000000000000,43927,331666
18,ffffc00000000000000000000000000000000000000000000000000000000000,43927,331666
19,ffffe00000000000000000000000000000000000000000000000000000000000,43927,328744
20,fffff00000000000000000000000000000000000000000000000000000000000,43927,328744
21,fffff80000000000000000000000000000000000000000000000000000000000,43927,328744
22,fffffc0000000000000000000000000000000000000000000000000000000000,43927,328744
23,fffffe0000000000000000000000000000000000000000000000000000000000,43927,325824
24,ffffff0000000000000000000000000000000000000000000000000000000000,43927,325824
25,ffffff8000000000000000000000000000000000000000000000000000000000,43927,325824
26,ffffffc000000000000000000000000000000000000000000000000000000000,43927,322905
27,ffffffe000000000000000000000000000000000000000000000000000000000,43927,322905
28,fffffff000000000000000000000000000000000000000000000000000000000,43927,322905
29,fffffff800000000000000000000000000000000000000000000000000000000,43927,319989
30,fffffffc00000000000000000000000000000000000000000000000000000000,43927,319989
31,fffffffe00000000000000000000000000000000000000000000000000000000,43927,319989
32,ffffffff00000000000000000000000000000000000000000000000000000000,43927,317074
33,ffffffff80000000000000000000000000000000000000000000000000000000,43927,317074
34,ffffffffc0000000000000000000000000000000000000000000000000000000,43927,317074
35,ffffffffe0000000000000000000000000000000000000000000000000000000,43927,317074
36,fffffffff0000000000000000000000000000000000000000000000000000000,43927,314161
37,fffffffff8000000000000000000000000000000000000000000000000000000,43927,314161
38,fffffffffc000000000000000000000000000000000000000000000000000000,43927,314161
39,fffffffffe000000000000000000000000000000000000000000000000000000,43927,305016
40,ffffffffff000000000000000000000000000000000000000000000000000000,43927,305016
41,ffffffffff800000000000000000000000000000000000000000000000000000,43927,305016
42,ffffffffffc00000000000000000000000000000000000000000000000000000,43927,305016
43,ffffffffffe00000000000000000000000000000000000000000000000000000,43927,302110
44,fffffffffff00000000000000000000000000000000000000000000000000000,43927,302110
45,fffffffffff80000000000000000000000000000000000000000000000000000,43927,302110
46,fffffffffffc0000000000000000000000000000000000000000000000000000,43927,302110
47,fffffffffffe0000000000000000000000000000000000000000000000000000,43927,299206
48,ffffffffffff0000000000000000000000000000000000000000000000000000,43927,299206
49,ffffffffffff8000000000000000000000000000000000000000000000000000,43927,299206
50,ffffffffffffc000000000000000000000000000000000000000000000000000,43927,296303
51,ffffffffffffe000000000000000000000000000000000000000000000000000,43927,296303
52,fffffffffffff000000000000000000000000000000000000000000000000000,43927,296303
53,fffffffffffff800000000000000000000000000000000000000000000000000,43927,293402
54,fffffffffffffc00000000000000000000000000000000000000000000000000,43927,293402
55,fffffffffffffe00000000000000000000000000000000000000000000000000,43927,293402
56,ffffffffffffff00000000000000000000000000000000000000000000000000,43927,290503
57,ffffffffffffff80000000000000000000000000000000000000000000000000,43927,290503
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,43927,290503
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,43927,290503
60,fffffffffffffff0000000000000000000000000000000000000000000000000,43927,287606
61,fffffffffffffff8000000000000000000000000000000000000000000000000,43927,287606
62,fffffffffffffffc000000000000000000000000000000000000000000000000,43927,287606
63,fffffffffffffffe000000000000000000000000000000000000000000000000,43927,284710
64,ffffffffffffffff000000000000000000000000000000000000000000000000,43927,284710
