w,h,i,hex_value,set_pk,naysaer_ht,naysaer_ltree,naysaer_wots
4,12,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,596882,2541940,716799
4,12,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,596882,2541940,716799
4,12,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,596882,2541940,716799
4,12,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,596894,2541952,716799
4,12,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,596882,2541940,716799
4,12,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,596858,2541928,716799
4,12,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,596882,2541940,716799
4,12,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,596894,2541952,716811
4,12,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,596894,2541952,716811
4,12,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,596882,2541940,716799
4,12,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,596894,2541952,716811
4,12,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,596894,2541952,716811
4,12,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,596894,2541952,716811
4,12,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,596894,2541952,716811
4,12,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,596894,2541952,716811
4,12,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,596894,2541952,716799
4,12,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,596882,2541940,716787
4,12,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,596894,2541952,716811
4,12,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,596894,2541952,716811
4,12,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,596894,2541952,716811
4,12,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,596870,2541940,716811
4,12,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,596894,2541952,716811
4,12,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,596894,2541952,716811
4,12,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,596894,2541952,716811
4,12,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,596894,2541952,716811
4,12,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,596894,2541952,716811
4,12,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,596894,2541952,716811
4,12,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,596870,2541940,716811
4,12,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,596894,2541952,716811
4,12,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,596870,2541940,716811
4,12,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,596894,2541952,716811
4,12,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,596894,2541952,716811
4,12,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,596894,2541952,716811
4,12,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,596894,2541952,716811
4,12,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,596894,2541952,716811
4,12,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,596894,2541952,716799
4,12,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,596894,2541952,716799
4,12,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,596894,2541952,716811
4,12,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,596894,2541952,716811
4,12,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,596894,2541952,716811
4,12,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,596870,2541940,716799
4,12,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,596894,2541952,716811
4,12,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,596894,2541952,716811
4,12,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,596894,2541952,716811
4,12,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,596894,2541952,716811
4,12,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,596882,2541940,716799
4,12,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,596894,2541952,716811
4,12,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,596894,2541952,716811
4,12,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,596882,2541940,716787
4,12,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,596894,2541952,716811
4,12,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,596894,2541952,716811
4,12,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,596870,2541940,716811
