w,h,i,hex_value,set_pk,naysayer_ht,naysayer_ltree,naysayer_wots
16,2,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,591472,1550393,636814
16,2,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,591472,1550393,636826
16,2,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,591472,1550393,636826
16,2,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,591496,1550405,636826
16,2,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,591496,1550405,636826
16,2,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,591496,1550405,636826
16,2,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,591496,1550405,636826
16,2,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,591472,1550393,636826
16,2,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,591484,1550393,636814
16,2,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,591496,1550405,636826
16,2,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,591496,1550405,636826
16,2,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,591496,1550405,636826
16,2,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,591496,1550405,636814
16,2,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,591496,1550405,636826
16,2,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,591496,1550405,636826
16,2,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,591472,1550393,636826
16,2,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,591496,1550405,636826
16,2,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,591496,1550405,636826
16,2,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,591472,1550393,636826
16,2,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,591484,1550393,636814
16,2,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,591496,1550405,636826
16,2,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,591496,1550405,636814
16,2,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,591496,1550405,636826
16,2,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,591496,1550405,636826
16,2,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,591496,1550405,636826
16,2,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,591484,1550393,636814
16,2,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,591496,1550405,636826
16,2,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,591496,1550405,636826
16,2,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,591496,1550405,636814
16,2,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,591496,1550405,636826
16,2,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,591496,1550405,636826
16,2,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,591496,1550405,636826
16,2,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,591496,1550405,636826
16,2,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,591484,1550393,636814
16,2,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,591496,1550405,636814
16,2,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,591472,1550393,636826
16,2,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,591496,1550405,636826
16,2,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,591496,1550405,636826
16,2,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,591496,1550405,636826
16,2,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,591496,1550405,636826
16,2,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,591496,1550405,636826
16,2,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,591496,1550405,636826
16,2,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,591496,1550405,636826
16,2,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,591472,1550393,636826
16,2,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,591496,1550405,636826
16,2,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,591496,1550405,636826
16,2,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,591496,1550405,636826
16,2,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,591496,1550405,636826
