w,h,i,hex_value,set_pk,naysaer_ht,naysaer_ltree,naysaer_wots
4,20,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,596902,2541956,716791
4,20,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,596890,2541956,716803
4,20,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,596914,2541968,716803
4,20,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,596914,2541968,716803
4,20,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,596914,2541968,716791
4,20,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,596914,2541968,716803
4,20,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,596914,2541968,716803
4,20,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,596914,2541968,716803
4,20,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,596914,2541968,716803
4,20,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,596914,2541968,716803
4,20,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,596914,2541968,716803
4,20,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,596902,2541956,716791
4,20,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,596902,2541956,716779
4,20,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,596914,2541968,716803
4,20,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,596914,2541968,716803
4,20,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,596914,2541968,716803
4,20,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,596914,2541968,716803
4,20,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,596914,2541968,716803
4,20,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,596890,2541956,716803
4,20,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,596890,2541956,716803
4,20,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,596914,2541968,716803
4,20,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,596914,2541968,716803
4,20,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,596914,2541968,716791
4,20,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,596914,2541968,716803
4,20,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,596914,2541968,716803
4,20,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,596914,2541968,716803
4,20,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,596914,2541968,716791
4,20,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,596914,2541968,716803
4,20,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,596914,2541968,716803
4,20,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,596914,2541968,716803
4,20,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,596890,2541956,716803
4,20,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,596914,2541968,716803
4,20,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,596890,2541956,716803
4,20,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,596914,2541968,716803
4,20,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,596866,2541932,716779
4,20,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,596914,2541968,716803
4,20,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,596890,2541956,716803
4,20,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,596914,2541968,716803
4,20,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,596914,2541968,716803
4,20,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,596914,2541968,716803
4,20,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,596914,2541968,716803
4,20,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,596914,2541968,716803
4,20,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,596914,2541968,716803
4,20,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,596890,2541956,716803
4,20,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,596914,2541968,716791
4,20,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,596914,2541968,716803
4,20,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,596902,2541956,716791
