w,h,i,hex_value,set_pk,naysaer_ht,naysaer_ltree,naysaer_wots
16,6,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,593772,1550777,636794
16,6,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,593748,1550765,636806
16,6,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,593784,1550789,636806
16,6,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,593760,1550777,636818
16,6,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,593772,1550777,636806
16,6,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,593784,1550789,636818
16,6,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,593784,1550789,636818
16,6,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,593760,1550777,636818
16,6,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,593784,1550789,636818
16,6,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,593784,1550789,636818
16,6,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,593784,1550789,636818
16,6,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,593772,1550777,636806
16,6,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,593784,1550789,636818
16,6,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,593772,1550777,636794
16,6,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,593784,1550789,636818
16,6,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,593784,1550789,636818
16,6,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,593784,1550789,636818
16,6,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,593772,1550777,636806
16,6,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,593784,1550789,636806
16,6,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,593784,1550789,636818
16,6,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,593760,1550765,636794
16,6,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,593784,1550789,636818
16,6,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,593784,1550789,636818
16,6,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,593760,1550777,636818
16,6,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,593784,1550789,636806
16,6,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,593784,1550789,636818
16,6,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,593784,1550789,636806
16,6,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,593748,1550765,636794
16,6,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,593784,1550789,636818
16,6,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,593784,1550789,636818
16,6,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,593784,1550789,636818
16,6,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,593784,1550789,636818
16,6,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,593784,1550789,636818
16,6,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,593784,1550789,636794
16,6,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,593784,1550789,636818
16,6,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,593784,1550789,636818
16,6,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,593772,1550777,636794
16,6,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,593784,1550789,636818
16,6,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,593760,1550777,636818
16,6,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,593784,1550789,636818
16,6,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,593748,1550765,636806
16,6,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,593784,1550789,636818
16,6,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,593784,1550789,636818
16,6,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,593772,1550777,636806
16,6,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,593784,1550789,636818
16,6,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,593784,1550789,636818
16,6,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,593772,1550777,636806
16,6,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,593784,1550789,636818
16,6,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,593784,1550789,636818
16,6,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,593736,1550765,636818
