w,h,i,hex_value,setPk,naysayerHT,naysayerLtree,naysayerWots
16,10,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,593800,1550793,636822
16,10,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,593800,1550793,636834
16,10,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,593800,1550793,636834
16,10,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,593800,1550793,636834
16,10,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,593800,1550793,636834
16,10,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,593800,1550793,636822
16,10,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,593800,1550793,636834
16,10,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,593800,1550793,636822
16,10,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,593776,1550781,636822
16,10,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,593800,1550793,636834
16,10,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,593764,1550757,636798
16,10,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,593776,1550781,636834
16,10,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,593788,1550781,636822
16,10,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,593776,1550769,636810
16,10,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,593800,1550793,636822
16,10,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,593800,1550793,636834
16,10,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,593800,1550793,636834
16,10,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,593800,1550793,636834
16,10,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,593800,1550793,636834
16,10,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,593800,1550793,636834
16,10,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,593788,1550781,636822
16,10,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,593800,1550793,636834
16,10,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,593800,1550793,636834
16,10,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,593788,1550781,636810
16,10,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,593800,1550793,636822
16,10,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,593800,1550793,636834
16,10,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,593800,1550793,636834
16,10,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,593788,1550781,636822
16,10,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,593788,1550781,636822
16,10,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,593764,1550769,636822
16,10,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,593800,1550793,636834
16,10,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,593800,1550793,636822
16,10,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,593800,1550793,636834
16,10,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,593800,1550793,636834
16,10,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,593788,1550781,636822
16,10,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,593800,1550793,636834
16,10,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,593800,1550793,636834
16,10,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,593800,1550793,636834
16,10,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,593800,1550793,636834
16,10,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,593800,1550793,636834
16,10,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,593800,1550793,636834
16,10,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,593776,1550781,636834
16,10,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,593776,1550781,636834
16,10,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,593776,1550781,636834
16,10,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,593800,1550793,636822
16,10,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,593800,1550793,636834
