w,h,i,hex_value,setPk,naysayerHT,naysayerLtree,naysayerWots
4,2,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67031,594606,2541196,716775
4,2,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67031,594606,2541196,716775
4,2,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67031,594606,2541196,716775
4,2,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67031,594606,2541196,716775
4,2,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67031,594606,2541196,716775
4,2,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67031,594606,2541196,716787
4,2,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67031,594594,2541184,716775
4,2,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67031,594606,2541196,716787
4,2,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67031,594606,2541196,716787
4,2,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67031,594606,2541196,716787
4,2,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67031,594606,2541196,716787
4,2,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67031,594606,2541196,716787
4,2,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67031,594606,2541196,716787
4,2,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67031,594606,2541196,716787
4,2,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67031,594606,2541196,716787
4,2,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67031,594606,2541196,716787
4,2,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67031,594582,2541184,716787
4,2,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67031,594606,2541196,716787
4,2,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67031,594606,2541196,716787
4,2,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67031,594606,2541196,716787
4,2,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67031,594606,2541196,716787
4,2,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67031,594606,2541196,716787
4,2,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67031,594606,2541196,716787
4,2,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67031,594606,2541196,716787
4,2,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67031,594606,2541196,716775
4,2,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67031,594594,2541184,716775
4,2,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67031,594582,2541172,716763
4,2,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67031,594606,2541196,716787
4,2,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67031,594582,2541184,716787
4,2,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67031,594606,2541196,716775
4,2,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67031,594606,2541196,716787
4,2,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67031,594606,2541196,716787
4,2,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67031,594606,2541196,716787
4,2,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67031,594606,2541196,716787
4,2,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67031,594606,2541196,716787
4,2,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67031,594594,2541184,716775
4,2,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67031,594606,2541196,716787
4,2,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67031,594582,2541184,716787
4,2,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67031,594606,2541196,716787
4,2,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67031,594594,2541184,716775
4,2,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67031,594582,2541184,716787
4,2,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67031,594582,2541184,716787
4,2,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67031,594606,2541196,716787
4,2,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67031,594606,2541196,716787
4,2,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67031,594594,2541184,716763
4,2,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67031,594606,2541196,716787
4,2,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67031,594594,2541184,716775
4,2,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67031,594606,2541196,716787
4,2,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67031,594606,2541196,716787
4,2,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67031,594606,2541196,716787
4,2,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67031,594606,2541196,716787
