i,hex_value,setPk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,43927,4488456
1,8000000000000000000000000000000000000000000000000000000000000000,43927,4488456
2,c000000000000000000000000000000000000000000000000000000000000000,43927,4488456
3,e000000000000000000000000000000000000000000000000000000000000000,43927,4488456
4,f000000000000000000000000000000000000000000000000000000000000000,43927,4313770
5,f800000000000000000000000000000000000000000000000000000000000000,43927,4313770
6,fc00000000000000000000000000000000000000000000000000000000000000,43927,4313770
7,fe00000000000000000000000000000000000000000000000000000000000000,43927,4313770
8,ff00000000000000000000000000000000000000000000000000000000000000,43927,4313770
9,ff80000000000000000000000000000000000000000000000000000000000000,43927,4313770
10,ffc0000000000000000000000000000000000000000000000000000000000000,43927,4313770
11,ffe0000000000000000000000000000000000000000000000000000000000000,43927,4313770
12,fff0000000000000000000000000000000000000000000000000000000000000,43927,4141388
13,fff8000000000000000000000000000000000000000000000000000000000000,43927,4141388
14,fffc000000000000000000000000000000000000000000000000000000000000,43927,4141388
15,fffe000000000000000000000000000000000000000000000000000000000000,43927,4141388
16,ffff000000000000000000000000000000000000000000000000000000000000,43927,4141388
17,ffff800000000000000000000000000000000000000000000000000000000000,43927,4141388
18,ffffc00000000000000000000000000000000000000000000000000000000000,43927,4141388
19,ffffe00000000000000000000000000000000000000000000000000000000000,43927,4141388
20,fffff00000000000000000000000000000000000000000000000000000000000,43927,3971310
21,fffff80000000000000000000000000000000000000000000000000000000000,43927,3971310
22,fffffc0000000000000000000000000000000000000000000000000000000000,43927,3971310
23,fffffe0000000000000000000000000000000000000000000000000000000000,43927,3971310
24,ffffff0000000000000000000000000000000000000000000000000000000000,43927,3971310
25,ffffff8000000000000000000000000000000000000000000000000000000000,43927,3971310
26,ffffffc000000000000000000000000000000000000000000000000000000000,43927,3971310
27,ffffffe000000000000000000000000000000000000000000000000000000000,43927,3971310
28,fffffff000000000000000000000000000000000000000000000000000000000,43927,3803536
29,fffffff800000000000000000000000000000000000000000000000000000000,43927,3803536
30,fffffffc00000000000000000000000000000000000000000000000000000000,43927,3803536
31,fffffffe00000000000000000000000000000000000000000000000000000000,43927,3803536
32,ffffffff00000000000000000000000000000000000000000000000000000000,43927,3803536
33,ffffffff80000000000000000000000000000000000000000000000000000000,43927,3803536
34,ffffffffc0000000000000000000000000000000000000000000000000000000,43927,3803536
35,ffffffffe0000000000000000000000000000000000000000000000000000000,43927,3803536
36,fffffffff0000000000000000000000000000000000000000000000000000000,43927,3638066
37,fffffffff8000000000000000000000000000000000000000000000000000000,43927,3638066
38,fffffffffc000000000000000000000000000000000000000000000000000000,43927,3638066
39,fffffffffe000000000000000000000000000000000000000000000000000000,43927,3638066
40,ffffffffff000000000000000000000000000000000000000000000000000000,43927,3638066
41,ffffffffff800000000000000000000000000000000000000000000000000000,43927,3638066
42,ffffffffffc00000000000000000000000000000000000000000000000000000,43927,3638066
43,ffffffffffe00000000000000000000000000000000000000000000000000000,43927,3638066
44,fffffffffff00000000000000000000000000000000000000000000000000000,43927,3474900
45,fffffffffff80000000000000000000000000000000000000000000000000000,43927,3474900
46,fffffffffffc0000000000000000000000000000000000000000000000000000,43927,3474900
47,fffffffffffe0000000000000000000000000000000000000000000000000000,43927,3474900
48,ffffffffffff0000000000000000000000000000000000000000000000000000,43927,3474900
49,ffffffffffff8000000000000000000000000000000000000000000000000000,43927,3474900
50,ffffffffffffc000000000000000000000000000000000000000000000000000,43927,3474900
51,ffffffffffffe000000000000000000000000000000000000000000000000000,43927,3474900
52,fffffffffffff000000000000000000000000000000000000000000000000000,43927,3314038
53,fffffffffffff800000000000000000000000000000000000000000000000000,43927,3314038
54,fffffffffffffc00000000000000000000000000000000000000000000000000,43927,3314038
55,fffffffffffffe00000000000000000000000000000000000000000000000000,43927,3314038
56,ffffffffffffff00000000000000000000000000000000000000000000000000,43927,3314038
57,ffffffffffffff80000000000000000000000000000000000000000000000000,43927,3314038
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,43927,3314038
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,43927,3314038
60,fffffffffffffff0000000000000000000000000000000000000000000000000,43927,3155480
61,fffffffffffffff8000000000000000000000000000000000000000000000000,43927,3155480
62,fffffffffffffffc000000000000000000000000000000000000000000000000,43927,3155480
63,fffffffffffffffe000000000000000000000000000000000000000000000000,43927,3155480
64,ffffffffffffffff000000000000000000000000000000000000000000000000,43927,3155480
65,ffffffffffffffff800000000000000000000000000000000000000000000000,43927,3155480
66,ffffffffffffffffc00000000000000000000000000000000000000000000000,43927,3155480
67,ffffffffffffffffe00000000000000000000000000000000000000000000000,43927,3155480
68,fffffffffffffffff00000000000000000000000000000000000000000000000,43927,2999226
69,fffffffffffffffff80000000000000000000000000000000000000000000000,43927,2999226
70,fffffffffffffffffc0000000000000000000000000000000000000000000000,43927,2999226
71,fffffffffffffffffe0000000000000000000000000000000000000000000000,43927,2999226
72,ffffffffffffffffff0000000000000000000000000000000000000000000000,43927,2999226
73,ffffffffffffffffff8000000000000000000000000000000000000000000000,43927,2999226
74,ffffffffffffffffffc000000000000000000000000000000000000000000000,43927,2999226
75,ffffffffffffffffffe000000000000000000000000000000000000000000000,43927,2999226
76,fffffffffffffffffff000000000000000000000000000000000000000000000,43927,2845276
77,fffffffffffffffffff800000000000000000000000000000000000000000000,43927,2845276
78,fffffffffffffffffffc00000000000000000000000000000000000000000000,43927,2845276
79,fffffffffffffffffffe00000000000000000000000000000000000000000000,43927,2845276
80,ffffffffffffffffffff00000000000000000000000000000000000000000000,43927,2845276
81,ffffffffffffffffffff80000000000000000000000000000000000000000000,43927,2845276
82,ffffffffffffffffffffc0000000000000000000000000000000000000000000,43927,2845276
83,ffffffffffffffffffffe0000000000000000000000000000000000000000000,43927,2845276
84,fffffffffffffffffffff0000000000000000000000000000000000000000000,43927,2693630
85,fffffffffffffffffffff8000000000000000000000000000000000000000000,43927,2693630
86,fffffffffffffffffffffc000000000000000000000000000000000000000000,43927,2693630
87,fffffffffffffffffffffe000000000000000000000000000000000000000000,43927,2693630
