i,hex_value,set_pk_max,verify_value
0,0000000000000000000000000000000000000000000000000000000000000000,1881064,584891
1,8000000000000000000000000000000000000000000000000000000000000000,1881064,577210
2,c000000000000000000000000000000000000000000000000000000000000000,1881064,577210
3,e000000000000000000000000000000000000000000000000000000000000000,1881064,577210
4,f000000000000000000000000000000000000000000000000000000000000000,1881064,577210
5,f800000000000000000000000000000000000000000000000000000000000000,1881064,569538
6,fc00000000000000000000000000000000000000000000000000000000000000,1881064,569538
7,fe00000000000000000000000000000000000000000000000000000000000000,1881064,569538
8,ff00000000000000000000000000000000000000000000000000000000000000,1881064,569538
9,ff80000000000000000000000000000000000000000000000000000000000000,1881064,561874
10,ffc0000000000000000000000000000000000000000000000000000000000000,1881064,561874
11,ffe0000000000000000000000000000000000000000000000000000000000000,1881064,561874
12,fff0000000000000000000000000000000000000000000000000000000000000,1881064,561874
13,fff8000000000000000000000000000000000000000000000000000000000000,1881064,554217
14,fffc000000000000000000000000000000000000000000000000000000000000,1881064,554217
15,fffe000000000000000000000000000000000000000000000000000000000000,1881064,554217
16,ffff000000000000000000000000000000000000000000000000000000000000,1881064,554217
17,ffff800000000000000000000000000000000000000000000000000000000000,1881064,546568
18,ffffc00000000000000000000000000000000000000000000000000000000000,1881064,546568
19,ffffe00000000000000000000000000000000000000000000000000000000000,1881064,546568
20,fffff00000000000000000000000000000000000000000000000000000000000,1881064,546568
21,fffff80000000000000000000000000000000000000000000000000000000000,1881064,538927
22,fffffc0000000000000000000000000000000000000000000000000000000000,1881064,538927
23,fffffe0000000000000000000000000000000000000000000000000000000000,1881064,538927
24,ffffff0000000000000000000000000000000000000000000000000000000000,1881064,538927
25,ffffff8000000000000000000000000000000000000000000000000000000000,1881064,531295
26,ffffffc000000000000000000000000000000000000000000000000000000000,1881064,531295
27,ffffffe000000000000000000000000000000000000000000000000000000000,1881064,531295
28,fffffff000000000000000000000000000000000000000000000000000000000,1881064,531295
29,fffffff800000000000000000000000000000000000000000000000000000000,1881064,523670
30,fffffffc00000000000000000000000000000000000000000000000000000000,1881064,523670
31,fffffffe00000000000000000000000000000000000000000000000000000000,1881064,523670
32,ffffffff00000000000000000000000000000000000000000000000000000000,1881064,523670
33,ffffffff80000000000000000000000000000000000000000000000000000000,1881064,523670
34,ffffffffc0000000000000000000000000000000000000000000000000000000,1881064,516053
35,ffffffffe0000000000000000000000000000000000000000000000000000000,1881064,516053
36,fffffffff0000000000000000000000000000000000000000000000000000000,1881064,516053
37,fffffffff8000000000000000000000000000000000000000000000000000000,1881064,516053
38,fffffffffc000000000000000000000000000000000000000000000000000000,1881064,508444
39,fffffffffe000000000000000000000000000000000000000000000000000000,1881064,508444
40,ffffffffff000000000000000000000000000000000000000000000000000000,1881064,508444
41,ffffffffff800000000000000000000000000000000000000000000000000000,1881064,508444
42,ffffffffffc00000000000000000000000000000000000000000000000000000,1881064,500842
43,ffffffffffe00000000000000000000000000000000000000000000000000000,1881064,500842
44,fffffffffff00000000000000000000000000000000000000000000000000000,1881064,500842
45,fffffffffff80000000000000000000000000000000000000000000000000000,1881064,500842
46,fffffffffffc0000000000000000000000000000000000000000000000000000,1881064,493249
47,fffffffffffe0000000000000000000000000000000000000000000000000000,1881064,493249
48,ffffffffffff0000000000000000000000000000000000000000000000000000,1881064,493249
49,ffffffffffff8000000000000000000000000000000000000000000000000000,1881064,493249
50,ffffffffffffc000000000000000000000000000000000000000000000000000,1881064,493249
51,ffffffffffffe000000000000000000000000000000000000000000000000000,1881064,477581
52,fffffffffffff000000000000000000000000000000000000000000000000000,1881064,477581
53,fffffffffffff800000000000000000000000000000000000000000000000000,1881064,477581
54,fffffffffffffc00000000000000000000000000000000000000000000000000,1881064,477581
55,fffffffffffffe00000000000000000000000000000000000000000000000000,1881064,470012
56,ffffffffffffff00000000000000000000000000000000000000000000000000,1881064,470012
57,ffffffffffffff80000000000000000000000000000000000000000000000000,1881064,470012
58,ffffffffffffffc0000000000000000000000000000000000000000000000000,1881064,470012
59,ffffffffffffffe0000000000000000000000000000000000000000000000000,1881064,470012
60,fffffffffffffff0000000000000000000000000000000000000000000000000,1881064,462451
61,fffffffffffffff8000000000000000000000000000000000000000000000000,1881064,462451
62,fffffffffffffffc000000000000000000000000000000000000000000000000,1881064,462451
63,fffffffffffffffe000000000000000000000000000000000000000000000000,1881064,462451
64,ffffffffffffffff000000000000000000000000000000000000000000000000,1881064,462451
65,ffffffffffffffff800000000000000000000000000000000000000000000000,1881064,454898
66,ffffffffffffffffc00000000000000000000000000000000000000000000000,1881064,454898
67,ffffffffffffffffe00000000000000000000000000000000000000000000000,1881064,454898
68,fffffffffffffffff00000000000000000000000000000000000000000000000,1881064,454898
69,fffffffffffffffff80000000000000000000000000000000000000000000000,1881064,447352
70,fffffffffffffffffc0000000000000000000000000000000000000000000000,1881064,447352
71,fffffffffffffffffe0000000000000000000000000000000000000000000000,1881064,447352
72,ffffffffffffffffff0000000000000000000000000000000000000000000000,1881064,447352
73,ffffffffffffffffff8000000000000000000000000000000000000000000000,1881064,439815
