w,h,i,hex_value,set_pk,verify
256,20,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,66789,66934698
256,20,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,66789,66803316
256,20,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,66789,66737647
256,20,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,66789,66704839
256,20,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,66789,66688431
256,20,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,66789,64599866
256,20,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,66789,63564241
256,20,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,66789,63048595
256,20,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,66789,62791313
256,20,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,66789,62662808
256,20,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,66789,62598589
256,20,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,66789,62566488
256,20,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,66789,62550440
256,20,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,66789,60507902
256,20,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,66789,59495291
256,20,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,66789,58991152
256,20,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,66789,58739624
256,20,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,66789,58613995
256,20,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,66789,58551215
256,20,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,66789,58519833
256,20,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,66789,58504132
256,20,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,66789,56507634
256,20,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,66789,55518037
256,20,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,66789,55025405
256,20,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,66789,54779630
256,20,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,66789,54656878
256,20,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,66789,54595536
256,20,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,66789,54564873
256,20,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,66789,54549544
256,20,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,66789,52599061
256,20,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,66789,51632478
256,20,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,66789,51151352
256,20,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,66789,50911331
256,20,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,66789,50791456
256,20,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,66789,50731528
256,20,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,66789,50701609
256,20,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,66789,50686639
256,20,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,66789,48782184
256,20,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,66789,47838615
256,20,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,66789,47368996
256,20,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,66789,47134728
256,20,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,66789,47017729
256,20,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,66789,46959264
256,20,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,66789,46930040
256,20,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,66789,46915430
256,20,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,66789,45057002
256,20,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,66789,44136446
256,20,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,66789,43678334
256,20,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,66789,43449820
256,20,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,66789,43335698
256,20,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,66789,43278671
