w,h,i,hex_value,set_pk,verify
4,12,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,66789,5311095
4,12,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,66789,5291434
4,12,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,66789,5281606
4,12,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,66789,5261954
4,12,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,66789,5252129
4,12,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,66789,5232497
4,12,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,66789,5222666
4,12,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,66789,5203030
4,12,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,66789,5193215
4,12,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,66789,5173587
4,12,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,66789,5163776
4,12,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,66789,5144158
4,12,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,66789,5134350
4,12,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,66789,5114752
4,12,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,66789,5104949
4,12,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,66789,5085348
4,12,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,66789,5075549
4,12,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,66789,5055956
4,12,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,66789,5046149
4,12,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,66789,5026565
4,12,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,66789,5016774
4,12,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,66789,4997198
4,12,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,66789,4987424
4,12,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,66789,4967856
4,12,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,66789,4958074
4,12,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,66789,4938515
4,12,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,66789,4928738
4,12,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,66789,4909187
4,12,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,66789,4899413
4,12,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,66789,4879883
4,12,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,66789,4870114
4,12,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,66789,4850580
4,12,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,66789,4840815
4,12,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,66789,4821289
4,12,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,66789,4811517
4,12,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,66789,4792000
4,12,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,66789,4782243
4,12,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,66789,4762747
4,12,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,66789,4752995
4,12,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,66789,4733483
4,12,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,66789,4723747
4,12,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,66789,4704255
4,12,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,66789,4694511
4,12,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,66789,4675040
4,12,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,66789,4665301
4,12,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,66789,4645838
4,12,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,66789,4636103
4,12,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,66789,4616648
4,12,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,66789,4606917
4,12,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,66789,4587459
4,12,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,66789,4577733
