w,h,i,hex_value,set_pk,verify
256,12,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,66789,66721614
256,12,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,66789,66590370
256,12,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,66789,66524769
256,12,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,66789,66491996
256,12,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,66789,66475605
256,12,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,66789,64389244
256,12,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,66789,63354721
256,12,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,66789,62839626
256,12,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,66789,62582620
256,12,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,66789,62454252
256,12,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,66789,62390102
256,12,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,66789,62358036
256,12,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,66789,62342005
256,12,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,66789,60301671
256,12,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,66789,59290162
256,12,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,66789,58786574
256,12,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,66789,58535321
256,12,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,66789,58409830
256,12,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,66789,58347119
256,12,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,66789,58315771
256,12,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,66789,58300088
256,12,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,66789,56305794
256,12,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,66789,55317299
256,12,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,66789,54825217
256,12,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,66789,54579718
256,12,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,66789,54457104
256,12,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,66789,54395831
256,12,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,66789,54365202
256,12,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,66789,54349890
256,12,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,66789,52401612
256,12,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,66789,51436131
256,12,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,66789,50955556
256,12,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,66789,50715810
256,12,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,66789,50596073
256,12,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,66789,50536214
256,12,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,66789,50506329
256,12,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,66789,50491376
256,12,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,66789,48589125
256,12,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,66789,47646658
256,12,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,66789,47177590
256,12,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,66789,46943598
256,12,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,66789,46826737
256,12,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,66789,46768340
256,12,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,66789,46739151
256,12,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,66789,46724558
256,12,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,66789,44868334
256,12,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,66789,43948880
256,12,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,66789,43491320
256,12,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,66789,43263081
256,12,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,66789,43149097
256,12,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,66789,43092138
