h,d,a,k,setPk_max,naysayerFors,naysayerForsHash,WotsHashNaysayer,wotsNaysayer,xmssNaysayer,setSign
7,6,5,47,66999,731471,1714983,1426450,1232791,689946,66708
7,6,5,48,66999,732798,1727329,1427697,1225476,691297,66708
7,6,6,39,66999,739494,1620084,1424986,1227482,689572,66708
7,6,6,40,66999,741211,1634249,1427416,1233793,691229,66708
7,6,7,34,66999,749012,1564018,1426518,1224321,690728,66708
7,6,8,30,66999,755367,1517854,1428733,1226708,691297,66708
7,6,9,26,66999,762023,1469803,1426297,1224128,689636,66708
7,6,10,24,66999,771701,1448133,1426851,1237798,691265,66696
7,6,12,20,66987,787721,1402138,1427027,1229163,691277,66708
7,6,13,18,66999,794487,1377413,1426037,1232778,689636,66708
7,6,14,17,66999,803650,1366924,1426655,1237606,690768,66708
7,6,15,16,66999,812191,1356042,1427372,1233837,691313,66708
7,6,16,15,66999,819972,1344541,1426515,1233460,691265,66708
7,6,17,14,66999,827702,1332408,1426756,1237899,690748,66696
7,6,18,13,66999,834552,1319775,1426217,1228413,689620,66708
7,6,20,12,66999,852275,1309989,1428014,1230102,691309,66708
7,6,24,10,66987,884452,1286728,1427710,1238717,691237,66708
7,6,26,9,66999,899222,1273861,1426117,1232766,689644,66696
7,6,30,8,not found,not found,not found,not found,not found,not found,not found
7,6,34,7,not found,not found,not found,not found,not found,not found,not found
7,6,39,6,not found,not found,not found,not found,not found,not found,not found
7,6,40,6,not found,not found,not found,not found,not found,not found,not found
7,6,47,5,not found,not found,not found,not found,not found,not found,not found
7,6,48,5,not found,not found,not found,not found,not found,not found,not found
7,6,59,4,not found,not found,not found,not found,not found,not found,not found
7,6,60,4,not found,not found,not found,not found,not found,not found,not found
8,2,4,59,66999,723415,1856547,1405724,1237119,690518,66708
8,2,4,60,66999,724496,1869226,1405501,1229565,691567,66708
8,2,5,47,66999,728600,1663539,1403341,1234226,687055,66708
8,2,5,48,66999,729963,1675635,1405090,1236239,688454,66696
8,2,6,39,66999,736694,1578526,1393798,1227662,686789,66708
8,2,6,40,66999,738339,1590783,1396652,1235201,688434,66708
8,2,7,34,66999,746092,1526632,1398591,1235032,687897,66708
8,2,8,30,66987,752493,1485210,1395333,1233506,687666,66708
8,2,9,26,66999,759113,1441223,1394098,1223797,686793,66708
8,2,10,24,66999,768862,1422256,1394599,1222794,688446,66708
8,2,12,20,66999,784857,1380212,1396398,1230262,688414,66708
8,2,13,18,66999,791610,1357708,1386736,1232193,686757,66708
8,2,14,17,66975,800809,1348394,1388651,1225650,687893,66708
8,2,15,16,66999,809302,1338409,1390682,1222005,688462,66708
8,2,16,15,66999,817058,1327733,1393985,1231585,688458,66708
8,2,17,14,66999,824823,1316916,1391607,1222082,687945,66696
8,2,18,13,66999,831672,1305237,1393643,1220922,686781,66708
8,2,20,12,66999,849406,1296571,1398739,1230959,688434,66708
8,2,24,10,66999,881641,1275717,1404800,1226927,688442,66696
8,2,26,9,66999,896338,1263620,1403492,1234265,686765,66696
8,2,30,8,not found,not found,not found,not found,not found,not found,not found
8,2,34,7,not found,not found,not found,not found,not found,not found,not found
8,2,39,6,not found,not found,not found,not found,not found,not found,not found
8,2,40,6,not found,not found,not found,not found,not found,not found,not found
8,2,47,5,not found,not found,not found,not found,not found,not found,not found
8,2,48,5,not found,not found,not found,not found,not found,not found,not found
8,2,59,4,not found,not found,not found,not found,not found,not found,not found
8,2,60,4,not found,not found,not found,not found,not found,not found,not found
8,3,4,59,66999,723415,1856511,1419271,1230555,690494,66708
8,3,4,60,66999,724496,1869034,1416949,1226384,691575,66708
8,3,5,47,66999,731753,1715265,1426744,1233021,690196,66696
8,3,5,48,66999,733116,1728151,1427497,1233794,691607,66708
8,3,6,39,66987,739848,1621326,1425748,1236467,689906,66708
8,3,6,40,66999,741457,1633991,1427904,1239027,691539,66708
8,3,7,34,66999,746056,1526092,1404929,1227024,687929,66684
8,3,8,30,66999,752493,1485090,1404796,1231256,688446,66708
8,3,9,26,66999,759149,1441547,1402517,1233322,686813,66708
8,3,10,24,66999,768862,1422232,1404732,1231256,688410,66696
8,3,12,20,66999,784857,1380212,1405382,1231894,688446,66708
8,3,13,18,66999,791610,1357612,1403071,1229615,686777,66708
8,3,14,17,66999,800809,1348334,1398466,1230446,687909,66696
8,3,15,16,66999,809302,1338409,1400877,1235898,688446,66708
8,3,16,15,66999,817094,1327925,1401118,1226301,688398,66708
8,3,17,14,66999,824823,1316952,1402941,1222712,687909,66708
8,3,18,13,66999,831708,1305441,1401216,1224327,686773,66708
8,3,20,12,66999,849370,1296487,1405153,1235914,688406,66708
8,3,24,10,66999,881605,1275585,1404170,1230634,688390,66708
8,3,26,9,66999,896338,1263620,1402682,1233635,686805,66708
8,3,30,8,not found,not found,not found,not found,not found,not found,not found
8,3,34,7,not found,not found,not found,not found,not found,not found,not found
8,3,39,6,not found,not found,not found,not found,not found,not found,not found
8,3,40,6,not found,not found,not found,not found,not found,not found,not found
8,3,47,5,not found,not found,not found,not found,not found,not found,not found
8,3,48,5,not found,not found,not found,not found,not found,not found,not found
8,3,59,4,not found,not found,not found,not found,not found,not found,not found
8,3,60,4,not found,not found,not found,not found,not found,not found,not found
8,4,4,59,66999,723379,1855791,1423615,1230519,690458,66708
8,4,4,60,66999,724496,1869034,1422709,1226384,691575,66708
8,4,5,47,66999,731753,1715265,1426744,1233021,690196,66708
8,4,5,48,66999,733116,1728151,1427497,1233794,691607,66708
8,4,6,39,66999,739812,1620846,1425484,1236431,689870,66708
8,4,6,40,66999,741421,1633499,1427640,1238991,691503,66708
8,4,7,34,66999,749294,1564180,1428184,1230172,691070,66708
8,4,8,30,66999,755613,1517644,1428039,1234404,691587,66708
8,4,9,26,66999,762269,1469833,1425496,1236435,689918,66708
8,4,10,24,66999,772019,1448691,1427975,1234404,691551,66708
8,4,12,20,66999,784857,1380212,1405382,1231894,688446,66708
8,4,13,18,66999,791610,1357612,1403071,1229615,686777,66708
8,4,14,17,66999,800809,1348334,1403842,1230446,687909,66708
8,4,15,16,66999,809302,1338409,1405101,1235898,688446,66708
8,4,16,15,66999,817094,1327925,1404190,1226301,688398,66708
8,4,17,14,66999,824823,1316952,1404801,1222712,687909,66708
8,4,18,13,66999,831708,1305441,1401984,1224327,686773,66708
8,4,20,12,66999,849370,1296487,1405153,1235914,688406,66708
8,4,24,10,66999,881605,1275585,1404170,1230634,688390,66696
8,4,26,9,66999,896338,1263620,1402682,1233635,686805,66708
8,4,30,8,not found,not found,not found,not found,not found,not found,not found
8,4,34,7,not found,not found,not found,not found,not found,not found,not found
8,4,39,6,not found,not found,not found,not found,not found,not found,not found
8,4,40,6,not found,not found,not found,not found,not found,not found,not found
8,4,47,5,not found,not found,not found,not found,not found,not found,not found
8,4,48,5,not found,not found,not found,not found,not found,not found,not found
8,4,59,4,not found,not found,not found,not found,not found,not found,not found
8,4,60,4,not found,not found,not found,not found,not found,not found,not found
8,5,4,59,66999,723415,1856571,1426898,1229030,690514,66708
8,5,4,60,66999,724496,1869298,1427586,1229774,691583,66708
8,5,5,47,66999,731717,1714761,1427069,1233398,690240,66708
8,5,5,48,66999,733116,1728175,1426944,1233473,691615,66708
8,5,6,39,66999,739848,1621326,1425640,1232153,689926,66708
8,5,6,40,66987,741493,1634555,1428059,1225758,691547,66708
8,5,7,34,66987,749294,1564300,1427198,1238165,691034,66708
8,5,8,30,66999,755577,1517392,1427475,1225702,691543,66708
8,5,9,26,66999,762269,1469833,1425351,1236154,689942,66708
8,5,10,24,66999,772019,1448715,1428011,1234400,691547,66708
8,5,12,20,66987,788003,1402384,1428008,1226047,691559,66708
8,5,13,18,66987,794733,1377527,1425501,1228093,689882,66708
8,5,14,17,66999,803968,1367398,1428068,1225831,691050,66708
8,5,15,16,66999,812437,1356120,1426932,1229104,691547,66708
