h,d,a,k,setPk_max,verify_value
3,2,4,59,66863,5847687
3,2,4,60,66863,5845903
4,2,4,59,66863,5833366
4,2,4,60,66863,5861439
4,3,4,59,66863,6622805
4,3,4,60,66863,6609074
5,2,4,59,66863,5871780
5,2,4,60,66863,5883019
5,3,4,59,66863,6611190
5,3,4,60,66863,6609638
5,4,4,59,66863,7379627
5,4,4,60,66863,7390528
6,2,4,59,66863,5857784
6,2,4,60,66863,5868716
6,3,4,59,66863,6684999
6,3,4,60,66851,6649254
6,4,4,59,66863,7396636
6,4,4,60,66863,7383294
6,5,4,59,66863,8204871
6,5,4,60,66851,8195576
7,2,4,59,66863,5862195
7,2,4,60,66863,5894712
7,3,4,59,66863,6626993
7,3,4,60,66839,6663157
7,4,4,59,66863,7418967
7,4,4,60,66863,7417315
7,5,4,59,66863,8223110
7,5,4,60,66863,8233967
7,6,4,59,66863,9015403
7,6,4,60,66863,9048219
8,2,4,59,66863,5881594
8,2,4,60,66863,5888985
8,3,4,59,66863,6656687
8,3,4,60,66863,6658967
8,4,4,59,66863,7433258
8,4,4,60,66863,7456984
8,5,4,59,66863,8167844
8,5,4,60,66863,8270769
8,6,4,59,66863,8943716
8,6,4,60,66863,9076742
8,7,4,59,66839,9747050
8,7,4,60,66863,9840720
9,2,4,59,66863,5882442
9,2,4,60,66863,5906074
9,3,4,59,66863,6700243
9,3,4,60,66863,6648677
9,4,4,59,66863,7433562
9,4,4,60,66863,7439981
9,5,4,59,66863,8187475
9,5,4,60,66863,8164745
9,6,4,59,66863,8941505
9,6,4,60,66851,8953505
9,7,4,59,66863,9753026
9,7,4,60,66863,9752576
9,8,4,59,66863,10526731
9,8,4,60,66863,10517365
10,2,4,59,66863,5918731
10,2,4,60,66863,5904797
10,3,4,59,66863,6662739
10,3,4,60,66863,6670032
10,4,4,59,66863,7417058
10,4,4,60,66863,7446061
10,5,4,59,66863,8212060
10,5,4,60,66863,8262173
10,6,4,57,66863,8957278
10,6,4,58,66863,8930595
10,7,4,57,66863,9730495
10,7,4,58,66863,9720359
10,8,4,57,66863,10530682
10,8,4,58,66863,10533211
10,9,4,57,66863,11323542
10,9,4,58,66863,11338625
11,2,4,59,66863,5902706
11,2,4,60,66863,5891802
11,3,4,59,66863,6693521
11,3,4,60,66863,6721715
11,4,4,57,66863,7334830
11,4,4,58,66863,7338199
11,5,4,57,66863,8163748
11,5,4,58,66863,8132875
11,6,4,57,66863,8912711
11,6,4,58,66863,8894282
11,7,4,57,66863,9681224
11,7,4,58,66863,9701648
11,8,4,57,66863,10468640
11,8,4,58,66863,10510670
11,9,4,57,66863,11248055
11,9,4,58,66863,11312507
12,2,4,59,66863,5934858
12,2,4,60,66863,5946070
12,3,4,59,66863,6670725
12,3,4,60,66863,6676615
12,4,4,57,66863,7370327
12,4,4,58,66863,7377552
12,5,4,57,66863,8112335
12,5,4,58,66863,8150941
12,6,4,57,66863,8899472
12,6,4,58,66863,8951122
12,7,4,57,66863,9721380
12,7,4,58,66863,9629558
12,8,4,57,66863,10518066
12,8,4,58,66863,10381124
12,9,4,57,66863,11315399
12,9,4,58,66851,11186017
13,2,4,59,66863,5926836
13,2,4,60,66863,5916465
13,3,4,57,66863,6596804
13,3,4,58,66863,6607920
13,4,4,57,66863,7378935
13,4,4,58,66863,7417223
13,5,4,57,66863,8171314
13,5,4,58,66863,8145146
13,6,4,57,66863,8959259
13,6,4,58,66863,8919647
13,7,4,57,66863,9689318
13,7,4,58,66863,9630598
13,8,4,57,66863,10485568
13,8,4,58,66863,10447775
13,9,4,57,66863,11234771
13,9,4,58,66863,11253548
14,2,4,59,66863,5921116
14,2,4,60,66863,5983230
14,3,4,57,66863,6554630
14,3,4,58,66863,6612693
14,4,4,57,66863,7286986
14,4,4,58,66863,7353811
14,5,4,57,66863,8154979
14,5,4,58,66851,8242683
14,6,4,57,66863,8925681
14,6,4,58,66863,9056853
14,7,4,57,66863,9727464
14,7,4,58,66863,9855522
14,8,4,57,66863,10452029
14,8,4,58,66863,10534458
14,9,4,57,66863,11197073
14,9,4,58,66863,11328084
15,2,4,59,66851,5925755
15,2,4,60,66863,5949428
15,3,4,57,66863,6586215
15,3,4,58,66863,6678375
15,4,4,57,66863,7377340
15,4,4,58,66863,7385661
15,5,4,57,66863,8158855
15,5,4,58,66851,8171390
15,6,4,57,66863,8935888
15,6,4,58,66863,8900533
15,7,4,57,66863,9720706
15,7,4,58,66863,9719624
15,8,4,57,66863,10459078
15,8,4,58,66863,10443207
15,9,4,57,66851,11252087
15,9,4,58,66863,11219232
16,2,4,59,66863,5940962
16,2,4,60,66863,5965238
16,3,4,57,66863,6598693
16,3,4,58,66851,6624014
16,4,4,57,66863,7416614
16,4,4,58,66863,7452613
16,5,4,57,66863,8163668
16,5,4,58,66863,8154035
16,6,4,57,66863,8895273
16,6,4,58,66863,8909715
16,7,4,57,66863,9692890
16,7,4,58,66863,9742438
16,8,4,57,66863,10492277
16,8,4,58,66863,10510747
16,9,4,57,66851,11373367
16,9,4,58,66863,11276328
17,2,4,57,66863,5820507
17,2,4,58,66863,5844154
17,3,4,57,66863,6582274
17,3,4,58,66863,6667020
17,4,4,57,66863,7374282
17,4,4,58,66863,7377045
17,5,4,57,66863,8181792
17,5,4,58,66863,8258289
17,6,4,57,66863,8960988
17,6,4,58,66863,9066488
17,7,4,57,66863,9781607
17,7,4,58,66863,9852413
17,8,4,57,66863,10542177
17,8,4,58,66863,10634619
17,9,4,57,66863,11336678
17,9,4,58,66863,11426707
18,2,4,55,66863,5767198
18,2,4,56,66863,5807333
18,3,4,57,66863,6691097
18,3,4,58,66863,6690926
18,4,4,57,66863,7393590
18,4,4,58,66863,7447155
18,5,4,57,66863,8103623
18,5,4,58,66863,8196416
18,6,4,57,66863,8878113
18,6,4,58,66863,9000882
18,7,4,57,66863,9745717
18,7,4,58,66863,9685030
18,8,4,57,66863,10518638
18,8,4,58,66863,10470673
18,9,4,57,66863,11332621
18,9,4,58,66863,11266856
19,2,4,55,66863,5741483
19,2,4,56,66863,5837764
19,3,4,57,66863,6657806
19,3,4,58,66863,6677838
19,4,4,57,66863,7405841
19,4,4,58,66863,7422858
19,5,4,57,66851,8095506
19,5,4,58,66863,8258029
19,6,4,57,66863,8890780
19,6,4,58,66863,9097531
19,7,4,55,66863,9669295
19,7,4,56,66851,9669967
19,8,4,55,66863,10438298
19,8,4,56,66863,10443723
19,9,4,55,66863,11256304
19,9,4,56,66863,11257095
