h,d,a,k,setPk_max,verify_value
3,2,4,60,66863,5845903
4,2,4,60,66863,5861439
4,3,4,60,66863,6609074
5,2,4,60,66863,5883019
5,3,4,60,66863,6609638
5,4,4,60,66863,7390528
6,2,4,60,66863,5868716
6,3,4,60,66851,6649254
6,4,4,60,66863,7383294
6,5,4,60,66851,8195576
7,2,4,60,66863,5894712
7,3,4,60,66839,6663157
7,4,4,60,66863,7417315
7,5,4,60,66863,8233967
7,6,4,60,66863,9048219
8,2,4,60,66863,5888985
8,3,4,60,66863,6658967
8,4,4,60,66863,7456984
8,5,4,60,66863,8270769
8,6,4,60,66863,9076742
8,7,4,60,66863,9840720
9,2,4,60,66863,5906074
9,3,4,60,66863,6648677
9,4,4,60,66863,7439981
9,5,4,60,66863,8164745
9,6,4,60,66851,8953505
9,7,4,60,66863,9752576
9,8,4,60,66863,10517365
10,2,4,60,66863,5904797
10,3,4,60,66863,6670032
10,4,4,60,66863,7446061
10,5,4,60,66863,8262173
11,2,4,60,66863,5891802
11,3,4,60,66863,6721715
12,2,4,60,66863,5946070
12,3,4,60,66863,6676615
13,2,4,60,66863,5916465
14,2,4,60,66863,5983230
15,2,4,60,66863,5949428
16,2,4,60,66863,5965238
