h,d,a,k,setPk_max,verify_value
3,2,6,40,66863,5612382
4,2,6,40,66863,5620194
4,3,6,40,66851,6404913
5,2,6,40,66863,5654073
5,3,6,40,66863,6404899
5,4,6,40,66863,7155344
6,2,6,40,66863,5677881
6,3,6,40,66863,6457493
6,4,6,40,66863,7220729
6,5,6,40,66863,8010925
7,2,6,40,66863,5648966
7,3,6,40,66863,6386106
7,4,6,40,66863,7182315
7,5,6,40,66851,7994092
7,6,6,40,66863,8798074
8,2,6,40,66863,5680383
8,3,6,40,66863,6412340
8,4,6,40,66863,7200476
8,5,6,40,66851,8020453
8,6,6,40,66863,8803503
8,7,6,40,66863,9575023
9,2,6,40,66863,5672450
9,3,6,40,66863,6481550
9,4,6,40,66863,7260923
9,5,6,40,66863,7945154
9,6,6,40,66863,8741846
9,7,6,40,66863,9518130
9,8,6,40,66863,10330091
10,2,6,40,66863,5688268
10,3,6,40,66863,6495440
10,4,6,40,66863,7206894
10,5,6,40,66863,8008901
11,2,6,40,66863,5700935
11,3,6,40,66863,6470464
12,2,6,40,66851,5737948
12,3,6,40,66863,6549402
13,2,6,40,66863,5713141
14,2,6,40,66863,5707757
15,2,6,40,66863,5704143
16,2,6,40,66863,5723165
