h,d,a,k,setPk_max,verify_value
3,2,8,30,66851,5526574
4,2,8,30,66863,5499982
4,3,8,30,66863,6322158
5,2,8,30,66863,5517038
5,3,8,30,66863,6297292
5,4,8,30,66863,7077175
6,2,8,30,66863,5557881
6,3,8,30,66863,6329932
6,4,8,30,66863,7048581
6,5,8,30,66863,7851208
7,2,8,30,66863,5570813
7,3,8,30,66863,6308350
7,4,8,30,66863,7019424
7,5,8,30,66863,7796502
7,6,8,30,66863,8582851
8,2,8,30,66851,5595148
8,3,8,30,66863,6327196
8,4,8,30,66863,7072044
8,5,8,30,66863,7854632
8,6,8,30,66851,8616014
8,7,8,30,66863,9412754
9,2,8,30,66863,5570099
9,3,8,30,66863,6349544
9,4,8,30,66851,7182451
9,5,8,30,66851,7842268
9,6,8,30,66863,8599407
9,7,8,30,66863,9387590
9,8,8,30,66863,10229121
10,2,8,30,66863,5564140
10,3,8,30,66863,6354552
10,4,8,30,66839,7124250
10,5,8,30,66863,7930529
10,6,8,29,66863,8503178
10,7,8,29,66863,9312976
10,8,8,29,66851,10089413
10,9,8,29,66863,10858362
11,2,8,30,66863,5585597
11,3,8,30,66863,6385246
11,4,8,29,66851,6956542
11,5,8,29,66863,7779293
11,6,8,29,66863,8620096
11,7,8,29,66863,9418404
11,8,8,29,66863,10213456
11,9,8,29,66863,10987831
12,2,8,30,66863,5597537
12,3,8,30,66863,6361406
12,4,8,29,66851,6999894
12,5,8,29,66863,7900732
12,6,8,29,66863,8713377
12,7,8,29,66863,9360001
12,8,8,29,66851,10159264
12,9,8,29,66851,10968341
13,2,8,30,66863,5597229
13,3,8,29,66863,6324810
13,4,8,29,66863,7081369
13,5,8,29,66863,7846305
13,6,8,29,66863,8671575
13,7,8,29,66863,9270460
13,8,8,29,66863,10034486
13,9,8,29,66863,10843203
14,2,8,30,66863,5591279
14,3,8,29,66863,6261759
14,4,8,29,66863,7026809
14,5,8,29,66863,7820831
14,6,8,29,66863,8582237
14,7,8,29,66863,9391138
14,8,8,29,66863,10085641
14,9,8,29,66863,10868733
15,2,8,30,66863,5638666
15,3,8,29,66863,6280784
15,4,8,29,66863,7011650
15,5,8,29,66863,7812754
15,6,8,29,66863,8569967
15,7,8,29,66851,9348955
15,8,8,29,66863,10157826
15,9,8,29,66863,10932727
16,2,8,30,66863,5645313
16,3,8,29,66863,6277464
16,4,8,29,66863,7044913
16,5,8,29,66863,7899648
16,6,8,29,66863,8545499
16,7,8,29,66863,9363515
16,8,8,29,66863,10183236
16,9,8,29,66863,10930887
17,2,8,29,66863,5537679
17,3,8,29,66863,6294899
17,4,8,29,66863,7081421
17,5,8,29,66863,7851999
17,6,8,29,66863,8496039
17,7,8,29,66863,9254111
17,8,8,29,66863,10034216
17,9,8,29,66863,10898014
18,2,8,28,66863,5473956
18,3,8,29,66851,6352457
18,4,8,29,66863,7029795
18,5,8,29,66839,7885919
18,6,8,29,66863,8684837
18,7,8,29,66851,9414253
18,8,8,29,66863,10216632
18,9,8,29,66851,10990786
19,2,8,28,66863,5448677
19,3,8,29,66863,6339102
19,4,8,29,66863,7023413
19,5,8,29,66863,7851538
19,6,8,29,66863,8663707
19,7,8,28,66863,9359389
19,8,8,28,66863,10140377
19,9,8,28,66863,10935597
